935	बार
936	▁हुने
937	पर्
938	▁थियो
939	पछि
940	▁सह
941	▁अनु
942	योग
943	ालय
944	▁राज
945	न्त्री
946	म्म
947	की
948	ेस
949	ष्ट्र
950	▁वर्ष
951	कि
952	ठमा
953	▁रु
954	▁उप
955	▁बि
956	धि
957	▁बढ
958	संग
959	टी
960	डा
961	▁काठमा
962	रह
963	िल्
964	▁छ।
965	▁मु
966	▁जना
967	ेट
968	▁सि
969	▁२०
970	्व
971	▁लि
972	न्न
973	स्थ
974	▁क्ष
975	र्व
976	र्थ
977	▁काठमाड
978	ण्ड
979	न्द्र
980	▁सरकार
981	ङ्
982	नमा
983	ाइ
984	सी
985	क्रम
986	क्त
987	जार
988	प्
989	सि
990	सार
991	▁इ
992	कारी
993	प्र
994	▁भए
995	याँ
996	▁अव
997	ेत
998	▁नै
999	▁रहेको
1000	▁३
1001	ँदै
1002	▁कि
1003	▁थिए
1004	▁तर
1005	▁विश
1006	द्ध
1007	▁वा
1008	मन्त्री
1009	▁स्थ
1010	नको
1011	दी
1012	न्य
1013	▁काम
1014	▁हाम
1015	न्ध
1016	▁ठ
1017	▁बै
1018	▁उनले
1019	पमा
1020	लि
1021	▁नेपाली
1022	▁त्यस
1023	▁से
1024	मु
1025	▁परि
1026	▁बना
1027	▁समा
1028	▁गर्नु
1029	उन
1030	ेत्र
1031	ुरु
1032	जना
1033	ती
1034	▁राष्ट्र
1035	द्य
1036	बै
1037	हाँ
1038	ाउँ
1039	ानी
1040	न्दा
1041	▁क्षेत्र
1042	▁भन्
1043	जा
1044	▁गरेका
1045	मि
1046	▁५
1047	चार
1048	▁व्यव
1049	एर
1050	▁काठमाडौं
1051	हरी
1052	्रा
1053	▁सो
1054	▁पार्
1055	▁पू
1056	हिले
1057	▁मि
1058	हो
1059	क्षा
1060	उने
1061	▁भएका
1062	▁सबै
1063	पालिका
1064	म्प
1065	▁प्रा
1066	मी
1067	हु
1068	स्ता
1069	▁जन
1070	त्य
1071	्ने
1072	सम्म
1073	ञ्च
1074	ैन
1075	वार
1076	▁रो
1077	▁प्रहरी
1078	▁गरिएको
1079	▁जा
1080	बन्ध
1081	धार
1082	▁अध्य
1083	तिक
1084	▁ड
1085	▁उनी
1086	ध्य
1087	▁हजार
1088	▁देखि
1089	▁ना
1090	▁स्थान
1091	माण
1092	▁प्रदेश
1093	ेला
1094	▁बु
1095	टर
1096	▁४
1097	ंक
1098	▁दिन
1099	दि
1100	िल्ला
1101	ग्र
1102	▁महि
1103	▁गत
1104	▁गर्दै
1105	रु
1106	▁मात्र
1107	▁जान
1108	क्ति
1109	सक
1110	▁६
1111	▁जिल्ला
1112	ेद
1113	▁उत्
1114	▁अर्
1115	▁छैन
1116	▁गरी
1117	र्ण
1118	▁आफ्न
1119	▁मह
1120	▁हुन्छ
1121	ीन
1122	▁पर्
1123	शा
1124	मान
1125	िम
1126	▁पर
1127	▁गरे
1128	लेख
1129	रहेको
1130	टक
1131	चि
1132	▁समय
1133	▁था
1134	▁राख
1135	▁दुई
1136	निक
1137	▁ओ
1138	▁भन्ने
1139	मुख
1140	▁कार्यक्रम
1141	भाव
1142	नुपर्
1143	कु
1144	गत
1145	▁पहि
1146	▁जो
1147	स्तो
1148	नै
1149	कृ
1150	जी
1151	▁पार्टी
1152	ारत
1153	▁पुग
1154	रमा
1155	डी
1156	्रम
1157	बी
1158	▁प्रधान
1159	छन्
1160	▁10
1161	िति
1162	▁कुरा
1163	▁सक्
1164	▁हुन
1165	▁पो
1166	▁बताए
1167	िया
1168	▁आज
1169	▁स्व
1170	▁केन्द्र
1171	▁भारत
1172	ौँ
1173	▁देश
1174	ुट
1175	ाउने
